 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 29, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   3.242E-05  6.483E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  9.107574E-04  5.23E-05  1.440923E-03  2.40E-05  9.107574E-04  5.23E-05  1.440923E-03  2.40E-05  1.008550E+00  2.54E-01  8.716734E-01  8.61E-02
   3.308E-05  6.616E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  8.746745E-04  5.13E-05  1.399814E-03  2.37E-05  8.746745E-04  5.13E-05  1.399814E-03  2.37E-05  7.978949E-01  2.26E-01  8.533943E-01  8.51E-02
   3.374E-05  6.748E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  8.392599E-04  5.02E-05  1.368837E-03  2.34E-05  8.392599E-04  5.02E-05  1.368837E-03  2.34E-05  7.903496E-01  2.25E-01  8.059945E-01  8.27E-02
   3.440E-05  6.880E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  8.035112E-04  4.92E-05  1.319950E-03  2.30E-05  8.035112E-04  4.92E-05  1.319950E-03  2.30E-05  8.264190E-01  2.30E-01  8.130053E-01  8.31E-02
   3.506E-05  7.013E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.924859E-04  4.88E-05  1.287685E-03  2.27E-05  7.924859E-04  4.88E-05  1.287685E-03  2.27E-05  9.209199E-01  2.43E-01  8.088359E-01  8.29E-02
   3.572E-05  7.145E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.617486E-04  4.79E-05  1.259197E-03  2.24E-05  7.617486E-04  4.79E-05  1.259197E-03  2.24E-05  8.704681E-01  2.36E-01  7.983516E-01  8.23E-02
   3.639E-05  7.277E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.256658E-04  4.67E-05  1.227065E-03  2.22E-05  7.256658E-04  4.67E-05  1.227065E-03  2.22E-05  7.906302E-01  2.25E-01  7.737970E-01  8.10E-02
   3.705E-05  7.410E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.969332E-04  4.58E-05  1.187688E-03  2.18E-05  6.969332E-04  4.58E-05  1.187688E-03  2.18E-05  6.894060E-01  2.09E-01  7.316388E-01  7.87E-02
   3.771E-05  7.542E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.839033E-04  4.53E-05  1.159334E-03  2.15E-05  6.839033E-04  4.53E-05  1.159334E-03  2.15E-05  6.526149E-01  2.04E-01  6.931381E-01  7.66E-02
   3.837E-05  7.674E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.518296E-04  4.43E-05  1.115691E-03  2.11E-05  6.518296E-04  4.43E-05  1.115691E-03  2.11E-05  6.739612E-01  2.07E-01  6.466603E-01  7.40E-02
